time x y z vx vy vz 
478360.0000000626 -41687636.71457557 140975701.5795548 29919.7813290605 -31.34227678358386 -10.81056011317933 -0.05704198830500843 
478480.0000000626 -41691392.19054744 140974402.2468325 29913.09875329441 -31.24910144307923 -10.84465226138261 -0.05433810478393351 
478600.0000000626 -41695136.52531988 140973098.9413954 29906.73928142941 -31.15658604886859 -10.87678463668889 -0.05165678359980673 
478720.0000000626 -41698869.79661713 140971791.8939874 29900.70025610466 -31.06470610303606 -10.90703014243345 -0.04899719087473935 
478840.0000000626 -41702592.07922194 140970481.3269236 29894.97911947482 -30.9734370919939 -10.93545642389001 -0.04635850211890904 
478960.0000000626 -41706303.44497789 140969167.4546984 29889.57341200944 -30.88275455137191 -10.96212623287735 -0.04373990341265416 
479080.0000000626 -41710003.9627984 140967850.4845533 29884.48077116846 -30.79263411844464 -10.98709775889793 -0.04114059229382123 
479200.0000000626 -41713693.69868162 140966530.6170051 29879.69892998673 -30.70305157399335 -11.01042492997941 -0.03855977839839535 
479320.0000000626 -41717372.71572969 140965208.0463417 29875.22571559422 -30.61398287520438 -11.03215768603397 -0.03599668389566563 
479440.0000000626 -41721041.07417154 140963882.9610844 29871.05904769463 -30.52540418097532 -11.05234222725681 -0.03345054375233407 
479560.0000000626 -41724698.83138816 140962555.5444238 29867.1969370211 -30.43729187078389 -11.07102123980206 -0.03092060585424776 
479680.0000000626 -41728346.04194009 140961225.9746287 29863.63748378453 -30.34962255811157 -11.0882341007391 -0.02840613101119669 
479800.0000000626 -41731982.75759593 140959894.4254315 29860.37887612744 -30.26237309926021 -11.10401706406926 -0.02590639286457943 
479920.0000000626 -41735609.0273619 140958561.0663935 29857.41938859366 -30.17552059828222 -11.11840342939577 -0.02342067771650145 
480040.0000000626 -41739224.89751165 140957226.063249 29854.75738062262 -30.08904240863641 -11.13142369466307 -0.02094828429469207 
480160.0000000626 -41742830.41161616 140955889.578234 29852.39129507497 -30.00291613209618 -11.14310569422975 -0.01848852346599564 
480280.0000000626 -41746425.61057343 140954551.770398 29850.31965679516 -29.91711961535686 -11.15347472339613 -0.01604071790942338 
480400.0000000626 -41750010.53263739 140953212.7959015 29848.54107121526 -29.83163094473182 -11.16255365038929 -0.01360420175802634 
480520.0000000626 -41753585.21344647 140951872.8083014 29847.05422300306 -29.74642843926625 -11.1703630166872 -0.01117832021697854 
480640.0000000626 -41757149.68605088 140950531.9588248 29845.85787475729 -29.66149064255748 -11.17692112646774 -0.008762429165258604 
480760.0000000626 -41760703.98093911 140949190.3966326 29844.95086575122 -29.57679631352953 -11.18224412587258 -0.00635589474627512 
480880.0000000626 -41764248.12606315 140947848.269074 29844.33211072575 -29.49232441637701 -11.18634607269101 -0.003958092952659956 
481000.0000000626 -41767782.14686244 140946505.7219334 29844.00059873257 -29.40805410986875 -11.18923899698958 -0.001568409209887215 
481120.0000000626 -41771306.06628662 140945162.8996708 29843.95539202707 -29.32396473617646 -11.1909329531447 0.0008137620379602846 
481240.0000000626 -41774819.90481679 140943819.9456559 29844.19562501064 -29.24003580937952 -11.19143606366823 0.003189017736021559 
481360.0000000626 -41778323.68048552 140942477.0023978 29844.72050322147 -29.15624700377699 -11.19075455514788 0.005557946617433447 
481480.0000000626 -41781817.4088953 140941134.2117707 29845.52930237239 -29.07257814213158 -11.1888927865738 0.007921129589594409 
481600.0000000626 -41785301.10323562 140939791.7152365 29846.6213674342 -28.9890091839597 -11.18585327026262 0.01027914010562441 
481720.0000000626 -41788774.77429883 140938449.6540661 29847.99611176259 -28.90552021397493 -11.18163668553559 0.01263254451755299 
481840.0000000626 -41792238.43049433 140937108.1695581 29849.65301626619 -28.8220914307919 -11.17624188526041 0.01498190240904105 
481960.0000000626 -41795692.07786166 140935767.4032587 29851.59162861314 -28.73870313599456 -11.16966589531219 0.01732776690408806 
482080.0000000626 -41799135.72008218 140934427.4971807 29853.81156247309 -28.65533572367502 -11.16190390696049 0.01967068494960866 
482200.0000000626 -41802569.3584896 140933088.5940247 29856.31249679154 -28.57196967055468 -11.15294926213957 0.02201119756776342 
482320.0000000626 -41805992.99207938 140931750.8374026 29859.09417509227 -28.48858552680363 -11.14279343151239 0.02434984007508161 
482440.0000000626 -41809406.61751693 140930414.3720632 29862.15640480401 -28.40516390768499 -11.13142598518107 0.02668714226454139 
482560.0000000626 -41812810.22914506 140929079.3441229 29865.49905660648 -28.32168548616238 -11.11883455585189 0.02902362854601628 
